#fields=ID[type='string'],station name[type='string'],latitude,longitude,ellipsoid height[unit='m'],data_start_time[type='date' format='yyyy-MM-ddTHH:mm:ss],data_stop_time[type='date' format='yyyy-MM-ddTHH:mm:ss]
LSIG,Tolt Reservoir_COMMA_ WA,47.6951,-121.6895,0.0,,
LWCK,Ilwaco_COMMA_ WA,46.2781,-124.0538,0.0,,
MCMV,McMinnville_COMMA_ OR,45.1973,-123.1331,0.0,,
MCSO,Salem_COMMA_ OR,44.9738,-122.9557,0.0,,
MDMT,Bly_COMMA_ OR,42.4183,-121.2216,0.0,,
MDRS,Madras_COMMA_ OR,44.664,-121.1304,0.0,,
MHTL,Timberline Lodge_COMMA_ OR,45.3287,-121.7112,0.0,,
MKAH,Makah_COMMA_ WA,48.3706,-124.5892,0.0,,
MONT,Montesano_COMMA_ WA,46.9828,-123.6035,0.0,,
MRSD,Mt. Rainier Ski Dorm_COMMA_ WA,46.4707,-121.4431,0.0,,
MUIR,Camp Muir_COMMA_ WA,46.5008,-121.4359,0.0,,
NEAH,Neah Bay_COMMA_ WA,48.2979,-124.6249,0.0,,
NEWP,Newport_COMMA_ OR,44.3506,-124.0342,0.0,,
NINT,North Bend_COMMA_ WA,47.495,-121.797,0.0,,
NWBG,Newberg_COMMA_ OR,45.18,-122.5831,0.0,,
NWIS,Deception Pass_COMMA_ WA,48.4191,-122.6702,0.0,,
OAKR,Oakridge_COMMA_ OR,43.7383,-122.4445,0.0,,
OBEC,Eugene_COMMA_ OR,44.0357,-123.0553,0.0,,
OBSR,Ashford_COMMA_ WA,46.8998,-121.8154,0.0,,
OCEN,Ocean Shores_COMMA_ WA,46.9523,-124.1596,0.0,,
ODOT,Salem_COMMA_ OR,44.8966,-123.0008,0.0,,
OLAR,Olympia_COMMA_ WA,46.9611,-122.9084,0.0,,
OLMP,Olympia_COMMA_ WA,47.0448,-122.8952,0.0,,
ONAB,Ona Beach_COMMA_ OR ,44.5145,-124.0744,0.0,,
OTIS,Mt. Vernon_COMMA_ WA,48.4178,-122.3365,0.0,,
OYLR,Renton_COMMA_ WA,47.4746,-122.2047,0.0,,
PABH,Pacific Beach_COMMA_ WA,47.2128,-124.2046,0.0,,
PCOL,Pierce College_COMMA_ WA,47.1721,-122.5708,0.0,,
PCS2,Dallas_COMMA_ OR,44.919,-123.3278,0.0,,
PCSO,Dallas_COMMA_ OR,44.919,-123.3278,0.0,,
PDXA,Portland_COMMA_ OR,45.5968,-122.6092,0.0,,
PDXB,Portland_COMMA_ OR,45.5664,-122.5815,0.0,,
PER1,Everett_COMMA_ WA,47.9816,-122.2081,0.0,,
PFLD,Everett_COMMA_ WA,47.8985,-122.2821,0.0,,
PGC5,North Saanich_COMMA_ BC,48.6485,-123.4509,0.0,,
PKDL,Parkdale_COMMA_ OR,45.5182,-121.5636,0.0,,
PKWD,Packwood_COMMA_ WA,46.5997,-121.6769,0.0,,
PMAR,Pine Martin_COMMA_ OR,43.9907,-121.6867,0.0,,
PNCL,Port Angeles_COMMA_ WA,48.1014,-123.4152,0.0,,
PNHG,Ashford_COMMA_ WA,46.859,-121.6426,0.0,,
PNVL,Prineville_COMMA_ OR,44.3129,-120.8465,0.0,,
POUL,Poulsbo_COMMA_ WA,47.7546,-122.6672,0.0,,
PRDY,Purdy_COMMA_ WA,47.3914,-122.6091,0.0,,
PSEA,Seattle_COMMA_ WA,47.4513,-122.3201,0.0,,
PSPT,Prospect_COMMA_ OR,42.7548,-122.4895,0.0,,
PTAA,Port Angeles_COMMA_ WA,48.1168,-123.4943,0.0,,
PTRF,Port Renfrew_COMMA_ BC,48.5441,-124.4129,0.0,,
PUPU,Pu Pu Point_COMMA_ WA,47.4996,-122.0081,0.0,,
QMAR,Stevens Pass_COMMA_ WA,47.7751,-120.9652,0.0,,
REDM,Redmond_COMMA_ OR,44.2598,-121.1479,0.0,,
REED,Reedsport_COMMA_ OR,43.701,-124.1077,0.0,,
RMDB,Redmond_COMMA_ OR,44.2597,-121.1478,0.0,,
RMRK,Naches_COMMA_ WA,46.7492,-120.7919,0.0,,
RSBG,Roseburg_COMMA_ OR,43.235,-123.3593,0.0,,
RYMD,Raymond_COMMA_ WA,46.6841,-123.7303,0.0,,
SACH,Saanich_COMMA_ BC,48.5667,-123.4207,0.0,,
SAMM,Issaquah_COMMA_ WA,47.5398,-122.0331,0.0,,
SATS,Satsop_COMMA_ WA,46.9657,-123.5408,0.0,,
SC00,Ellensburg_COMMA_ WA,46.9509,-120.7246,0.0,,
SC02,Friday Harbor_COMMA_ WA,48.5462,-123.0077,0.0,,
SC03,Mount Olympus_COMMA_ WA,47.8184,-123.7045,0.0,,
SC04,Chemainus_COMMA_ BC,48.5523,-123.4214,0.0,,
